,Unnamed: 0,Rank,Time,Name,Country,Date of Birth,Place,City,Date,Gender,Event,Km/h,Temp
0,6088,1,00:00:09.580000,Usain Bolt,JAM,1986-08-21,1.0,Berlin,2009-08-16,Men,100 m,37.57828810020877,24.8
1,6089,2,00:00:09.630000,Usain Bolt,JAM,1986-08-21,1.0,London,2012-08-05,Men,100 m,37.38317757009346,16.9
2,6090,3,00:00:09.690000,Usain Bolt,JAM,1986-08-21,1.0,Beijing,2008-08-16,Men,100 m,37.15170278637771,24.6
3,6091,3,00:00:09.690000,Tyson Gay,USA,1982-08-09,1.0,Shanghai,2009-09-20,Men,100 m,37.15170278637771,25.2
4,6092,3,00:00:09.690000,Yohan Blake,JAM,1989-12-26,1.0,Lausanne,2012-08-23,Men,100 m,37.15170278637771,23.8
5,6093,6,00:00:09.710000,Tyson Gay,USA,1982-08-09,2.0,Berlin,2009-08-16,Men,100 m,37.07518022657055,24.8
6,6094,7,00:00:09.720000,Usain Bolt,JAM,1986-08-21,1.0,New York City,2008-05-31,Men,100 m,37.03703703703704,20.8
7,6095,7,00:00:09.720000,Asafa Powell,JAM,1982-11-23,1.0,Lausanne,2008-09-02,Men,100 m,37.03703703703704,19.9
8,6096,9,00:00:09.740000,Asafa Powell,JAM,1982-11-23,1.0,Rieti,2007-09-09,Men,100 m,36.96098562628337,14.7
9,6097,9,00:00:09.740000,Justin Gatlin,USA,1982-02-10,1.0,Ad-Dawhah,2015-05-15,Men,100 m,36.96098562628337,26.1
10,6101,11,00:00:09.750000,Justin Gatlin,USA,1982-02-10,1.0,Lausanne,2015-07-09,Men,100 m,36.92307692307692,19.9
11,6100,11,00:00:09.750000,Justin Gatlin,USA,1982-02-10,1.0,Roma,2015-06-04,Men,100 m,36.92307692307692,23.6
12,6098,11,00:00:09.750000,Yohan Blake,JAM,1989-12-26,1.0,Kingston,2012-06-29,Men,100 m,36.92307692307692,28.6
13,6099,11,00:00:09.750000,Yohan Blake,JAM,1989-12-26,2.0,London,2012-08-05,Men,100 m,36.92307692307692,16.9
14,6102,15,00:00:09.760000,Usain Bolt,JAM,1986-08-21,1.0,Kingston,2008-05-03,Men,100 m,36.885245901639344,27.3
15,6103,15,00:00:09.760000,Usain Bolt,JAM,1986-08-21,1.0,Bruxelles,2011-09-16,Men,100 m,36.885245901639344,15.0
16,6104,15,00:00:09.760000,Usain Bolt,JAM,1986-08-21,1.0,Roma,2012-05-31,Men,100 m,36.885245901639344,20.5
17,6105,15,00:00:09.760000,Yohan Blake,JAM,1989-12-26,1.0,Zürich,2012-08-30,Men,100 m,36.885245901639344,16.4
18,6112,19,00:00:09.770000,Tyson Gay,USA,1982-08-09,1.0,Roma,2009-07-10,Men,100 m,36.847492323439106,23.2
19,6114,19,00:00:09.770000,Justin Gatlin,USA,1982-02-10,1.0,Bruxelles,2014-09-05,Men,100 m,36.847492323439106,19.9
20,6113,19,00:00:09.770000,Usain Bolt,JAM,1986-08-21,1.0,Moskva,2013-08-11,Men,100 m,36.847492323439106,23.0
21,6111,19,00:00:09.770000,Asafa Powell,JAM,1982-11-23,1.0,Rieti,2008-09-07,Men,100 m,36.847492323439106,19.8
22,6115,19,00:00:09.770000,Justin Gatlin,USA,1982-02-10,1.0,Beijing,2015-08-23,Men,100 m,36.847492323439106,22.4
23,6109,19,00:00:09.770000,Tyson Gay,USA,1982-08-09,1.0,Eugene,2008-06-28,Men,100 m,36.847492323439106,
24,6108,19,00:00:09.770000,Asafa Powell,JAM,1982-11-23,1.0,Zürich,2006-08-18,Men,100 m,36.847492323439106,18.7
25,6107,19,00:00:09.770000,Asafa Powell,JAM,1982-11-23,1.0,Gateshead,2006-06-11,Men,100 m,36.847492323439106,18.9
26,6106,19,00:00:09.770000,Asafa Powell,JAM,1982-11-23,1.0,Athínai,2005-06-14,Men,100 m,36.847492323439106,
27,6110,19,00:00:09.770000,Usain Bolt,JAM,1986-08-21,1.0,Bruxelles,2008-09-05,Men,100 m,36.847492323439106,15.9
28,6116,29,00:00:09.780000,Asafa Powell,JAM,1982-11-23,1.0,Rieti,2007-09-09,Men,100 m,36.809815950920246,14.7
29,6117,29,00:00:09.780000,Tyson Gay,USA,1982-08-09,1.0,London,2010-08-13,Men,100 m,36.809815950920246,14.7
30,6118,29,00:00:09.780000,Nesta Carter,JAM,1985-11-10,1.0,Rieti,2010-08-29,Men,100 m,36.809815950920246,24.7
31,6119,29,00:00:09.780000,Asafa Powell,JAM,1982-11-23,1.0,Lausanne,2011-06-30,Men,100 m,36.809815950920246,18.7
32,6120,29,00:00:09.780000,Justin Gatlin,USA,1982-02-10,1.0,Monaco,2015-07-17,Men,100 m,36.809815950920246,27.3
33,6127,34,00:00:09.790000,Usain Bolt,JAM,1986-08-21,1.0,Beijing,2015-08-23,Men,100 m,36.77221654749745,22.4
34,6125,34,00:00:09.790000,Usain Bolt,JAM,1986-08-21,1.0,Oslo,2012-06-07,Men,100 m,36.77221654749745,13.3
35,6124,34,00:00:09.790000,Tyson Gay,USA,1982-08-09,1.0,Clermont,2011-06-04,Men,100 m,36.77221654749745,15.7
36,6126,34,00:00:09.790000,Justin Gatlin,USA,1982-02-10,3.0,London,2012-08-05,Men,100 m,36.77221654749745,16.9
37,6122,34,00:00:09.790000,Usain Bolt,JAM,1986-08-21,1.0,Saint-Denis,2009-07-17,Men,100 m,36.77221654749745,22.0
38,6121,34,00:00:09.790000,Maurice Greene,USA,1974-07-23,1.0,Athínai,1999-06-16,Men,100 m,36.77221654749745,
39,6123,34,00:00:09.790000,Tyson Gay,USA,1982-08-09,1.0,Bruxelles,2010-08-27,Men,100 m,36.77221654749745,16.8
40,6134,41,00:00:09.800000,Justin Gatlin,USA,1982-02-10,1.0,Eugene,2016-07-03,Men,100 m,36.734693877551024,
